NAME,B19013_001E,state,place
"Minden city, Louisiana",28450,22,50885
"Lafayette city, Louisiana",48533,22,40735
"New Orleans city, Louisiana",38721,22,55000
"Salisbury city, Maryland",37416,24,69925
"Gaithersburg city, Maryland",85773,24,31175
"District Heights city, Maryland",69358,24,23025
"Westminster city, Maryland",60984,24,83100
"Frostburg city, Maryland",37099,24,30900
"Baltimore city, Maryland",46641,24,04000
"Fruitland city, Maryland",63922,24,30950
"Manistee city, Michigan",35429,26,50720
"Rochester city, Michigan",81650,26,69020
"Troy city, Michigan",93017,26,80700
"Clio city, Michigan",36025,26,16620
"Lathrup Village city, Michigan",101406,26,46320
"Oak Park city, Michigan",51498,26,59920
"Orchard Lake Village city, Michigan",157750,26,61020
"Swartz Creek city, Michigan",50065,26,77700
"Iron River city, Michigan",29578,26,40980
"Portage city, Michigan",60260,26,65560
"Grandville city, Michigan",56765,26,34160
"Wyoming city, Michigan",50971,26,88940
"Marine City city, Michigan",45652,26,51600
"Marysville city, Michigan",61439,26,52080
"Memphis city, Michigan",39844,26,52960
"Bloomfield Hills city, Michigan",186563,26,09180
"Sylvan Lake city, Michigan",70500,26,77860
"Munising city, Michigan",34152,26,56200
"Wixom city, Michigan",49682,26,88140
"New Buffalo city, Michigan",49602,26,57220
"Rogers City city, Michigan",36217,26,69260
"East Lansing city, Michigan",37433,26,24120
"Muskegon city, Michigan",29388,26,56320
"Romulus city, Michigan",46724,26,69420
"Ludington city, Michigan",38325,26,49640
"Warren city, Michigan",45611,26,84000
"Saline city, Michigan",69968,26,71140
"Monroe city, Michigan",47559,26,55020
